q_id,answer
1,"Номер счета можно узнать в договоре банковского обслуживания, в личном кабинете, у technik support банка или в банковском отделении."
2,"Вы можете узнать свой БИК и номер лицевого счета (ЛС) в личном кабинете банка, в мобильном приложении или по телефону в службе поддержки."
3,"Если вы не получаете коды для подтверждения операции, попробуйте следующие действия:

1. Проверьте, включено ли подтверждение операций в приложении. Для этого перейдите в профиль, настройки и убедитесь, что параметр ""Подтверждение операций"" включен.
2. Обратите внимание на статус устройства, с которого вы совершаете операцию. Если устройство еще не доверено, возможно, что подтверждение операции требует секретного кода.
3. Проверьте, не заблокировано ли ваше устройство или браузер в системе безопасности Альфа-Банка.
4. Если вы"
4,"Если вы не получили уведомлений о рассрочки, попробуйте проверить статус рассрочки в мобильном приложении или в интернет-банке. Если вы не нашли информации о статусе, свяжитесь с нашей службой поддержки по номеру телефона, указанному в приложении или на сайте банка. Они помогут вам решить проблему и предоставят необходимую информацию."
5,"После активации карты и подписания договора вы сможете пользоваться кредитной картой. Для этого необходимо активировать карту в приложении или Альфа‑Онлайн, придумать ПИН-код, подтвердить активацию кодом из смс и начать использовать займ на свое усмотрение."
6,"Если причиной отправления платежа в реестр послужил арест расчëтного счёта, выплата осуществляется после получения уведомления о снятии запретов от уполномоченных органов."
7,Информации недостаточно.
8,"Для того чтобы узнать номер вашего зарплатного счета, обратите внимание на следующие способы:

1. Посмотрите в договоре банковского обслуживания, в разделе ""Реквизиты"" или ""Данные клиента"".
2. Войдите в личный кабинет через мобильное приложение или интернет-кабинет банка.
3. Звоните в горячую линию банка и предоставьте необходимую информацию для идентификации.
4. Обратитесь в ближайшее отделение банка и покажите необходимые документы.

Если вы не знаете номер своего зарплат"
9,"Дата начала пользования кредитной картой указана в договоре. Вы можете найти ее в мобильном приложении или интернет-банке, связавшись с нашим специалистом или посетив ближайшее отделение банка."
10,"Если на всех Мобильных устройствах Клиента, на которых имеется доступ к Мобильному приложению «Альфа-Мобайл», в Мобильном приложении «Альфа-Мобайл» выключены уведомления через Сервис обмена мгновенными сообщениями по какой-либо категории или они включены, но при этом выключены уведомления через Сервис обмена мгновенными сообщениями на уровне настроек в Сервисе обмена мгновенными сообщениями или операционной системе Мобильного устройства Клиента (iOS или Android), то по данной категории уведомления через С"
11,Информации недостаточно.
